time,Seconds,Latitude,Longitude,Absolute pedal position D (%),Vehicle acceleration (g),Vehicle speed (mph)
0 days 08:04:22.078000,839.918,40.17331094,-111.64688168,28.0,-0.0035904672070443,70.8363159150561
0 days 08:04:24.012000,841.852,40.17270828,-111.64688182,32.0,0.0127438923664581,72.7004294917681
0 days 08:04:25.494000,843.334,40.17211036,-111.646848,31.0,0.0163654854865255,73.3218006840054
0 days 08:04:27.205000,845.045,40.17149838,-111.64685441,29.0,0.0176788399593038,73.3218006840054
0 days 08:04:29.101000,846.941,40.17120998,-111.6468579,29.0,0.020672033783644,73.9431718762427
0 days 08:04:30.777000,848.617,40.170615,-111.64684023,27.0,0.0125241872265541,74.5645430684801
0 days 08:04:32.742000,850.582,40.17001949,-111.64685493,28.0,0.0079033718458351,74.5645430684801
0 days 08:04:34.894000,852.734,40.16942833,-111.64685113,27.0,0.0114446185473319,75.1859142607174
0 days 08:04:36.624000,854.464,40.16883579,-111.64686532,28.0,0.0073478684945446,75.1859142607174
0 days 08:04:38.401000,856.241,40.16820754,-111.64687229,28.0,0.0073448685636891,75.8072854529547
0 days 08:04:40.271000,858.111,40.16757451,-111.64687917,25.0,0.0073164712667363,75.8072854529547
0 days 08:04:42.505000,860.345,40.16726177,-111.64688281,25.0,0.0073164712667363,75.1859142607174
0 days 08:04:44.147000,861.987,40.16668365,-111.64689028,27.0,0.0,75.1859142607174
0 days 08:04:45.706000,863.546,40.16607243,-111.64690688,26.0,-0.007277645324012,74.5645430684801
0 days 08:04:47.216000,865.056,40.16543414,-111.64692861,26.0,-0.007277645324012,74.5645430684801
0 days 08:04:49.076000,866.916,40.16517174,-111.64692712,27.0,-0.0038021585931308,74.5645430684801
0 days 08:04:51.021000,868.861,40.16455492,-111.64690299,26.0,-0.0038214641368069,74.5645430684801
0 days 08:04:52.592000,870.432,40.16393014,-111.64691426,27.0,-0.0038214641368069,74.5645430684801
0 days 08:04:55.146000,872.986,40.16331563,-111.64690412,27.0,0.0,74.5645430684801
0 days 08:04:56.313000,874.153,40.16270329,-111.64690575,26.0,0.00354131527903,75.1859142607174
0 days 08:04:58.286000,876.126,40.16206065,-111.64691092,26.0,0.0035190705071244,75.1859142607174
0 days 08:05:00.213000,878.053,40.16147853,-111.64691589,26.0,0.0033724680279336,75.1859142607174
0 days 08:05:01.794000,879.634,40.16117836,-111.64691102,25.0,0.0,74.5645430684801
0 days 08:05:03.687000,881.527,40.1605826,-111.6469158,23.0,-0.0075255270014865,73.9431718762427
0 days 08:05:05.612000,883.452,40.15999086,-111.64690651,23.0,-0.0136947546988721,72.7004294917681
0 days 08:05:07.243000,885.083,40.15970047,-111.64690961,23.0,-0.0189999923132573,72.0790582995307
0 days 08:05:08.693000,886.533,40.15911748,-111.64690795,25.0,-0.0191407794823851,71.4576871072934
0 days 08:05:11.171000,889.011,40.15855301,-111.64692189,26.0,-0.0138318942786887,71.4576871072934
0 days 08:05:12.798000,890.638,40.15796363,-111.64691764,27.0,-0.0138318942786887,71.4576871072934
0 days 08:05:14.287000,892.127,40.15737895,-111.646912,28.0,-0.0138318942786887,72.0790582995307
0 days 08:05:16.623000,894.463,40.15709099,-111.64690616,25.0,-0.0138318942786887,72.0790582995307
0 days 08:05:18.182000,896.022,40.15650107,-111.64692273,26.0,0.0032760876273752,72.0790582995307
0 days 08:05:20.159000,897.999,40.15591919,-111.64695678,25.0,0.0,71.4576871072934
0 days 08:05:22.309000,900.149,40.15507591,-111.64694647,25.0,-0.0035983036298141,71.4576871072934
0 days 08:05:24.242000,902.082,40.15476376,-111.64695576,29.0,-0.0035983036298141,72.0790582995307
0 days 08:05:25.825000,903.665,40.15416764,-111.64696985,28.0,-0.0035983036298141,72.7004294917681
0 days 08:05:27.299000,905.139,40.15354545,-111.64695531,29.0,0.0101663281850431,73.3218006840054
0 days 08:05:29.648000,907.488,40.15292428,-111.64694632,25.0,0.0131251923429276,73.9431718762427
0 days 08:05:31.497000,909.337,40.1523209,-111.64695069,28.0,0.0108838161247591,73.9431718762427
0 days 08:05:33.569000,911.409,40.15174359,-111.64694358,26.0,0.0108662773225138,74.5645430684801
0 days 08:05:35.458000,913.298,40.15107847,-111.64694943,25.0,0.0108662773225138,73.9431718762427
0 days 08:05:37.286000,915.126,40.15052909,-111.64695163,26.0,0.0108662773225138,73.9431718762427
0 days 08:05:39.222000,917.062,40.15023163,-111.64694179,27.0,0.0,73.9431718762427
0 days 08:05:41.253000,919.093,40.14966687,-111.64694443,30.0,0.0,74.5645430684801
0 days 08:05:42.815000,920.655,40.14903804,-111.64696459,27.0,0.0038835257971487,74.5645430684801
0 days 08:05:45.296000,923.136,40.14807541,-111.64694313,27.0,0.0038835257971487,74.5645430684801
0 days 08:05:47.278000,925.118,40.1474807,-111.64694173,27.0,0.0061963060847563,75.1859142607174
0 days 08:05:49.660000,927.5,40.14691184,-111.64695201,25.0,0.0062207529849746,75.1859142607174
0 days 08:05:51.450000,929.29,40.1463057,-111.64695735,26.0,0.0062207529849746,74.5645430684801
0 days 08:05:53.279000,931.119,40.14569286,-111.64698676,27.0,0.0062207529849746,75.1859142607174
0 days 08:05:55.909000,933.749,40.14508626,-111.64699613,29.0,0.0062207529849746,75.1859142607174
0 days 08:05:58.259000,936.099,40.14416004,-111.64698921,27.0,0.0062207529849746,75.8072854529547
0 days 08:06:00.229000,938.069,40.14351611,-111.64699202,23.0,0.0062207529849746,75.8072854529547
